Transaction Type,Amount,Sender ID,Sender Balance,Transaction Time,Receiver ID,Receiver Balance,Device Type,IP Address,Latitude,Longitude,Is Fraudulent
TRANSFER,3568.28,C350636897,78782.8,21:51,M384063364,62505.8,Mobile,118.39.149.67,26.57425,147.02812,0
PAYMENT,3579.78,C278158234,30761.18,18:58,M951078441,74895.77,Desktop,122.41.129.186,-35.263586,-35.096933,0
TRANSFER,25028.6,C630208579,8044.19,13:47,M570040006,3986.08,Desktop,164.74.16.33,-48.793605,62.747412,0
WITHDRAWAL,29360.28,C122275263,67228.16,1:48,M921155204,26951.1,Mobile,130.142.176.123,74.893102,-114.663907,0
WITHDRAWAL,21799.89,C974288855,96905.52,13:21,M627986559,47001.04,Desktop,181.36.229.51,-30.635341,69.722523,0
TRANSFER,33132.55,C529982328,76049.98,2:20,M973559879,3669.71,Desktop,92.39.207.113,65.683905,116.973793,1
PAYMENT,32886.44,C682605435,41324.76,11:39,M596043327,18758.25,Desktop,170.123.204.23,-53.359517,17.71907,0
TRANSFER,21911.42,C849740261,12142.61,19:51,M620455331,97314.68,Mobile,191.50.89.151,-87.538596,-33.123353,0
PAYMENT,49612.93,C221827951,94706.07,4:31,M595475899,64770.97,Web,84.140.190.79,-15.211738,-6.300152,0
TRANSFER,12194.11,C691916368,38358.6,16:47,M255308128,92186.81,Mobile,231.27.80.207,52.201113,-30.620728,0
WITHDRAWAL,13365.96,C102754426,72605.1,18:42,M403696046,83747.59,Desktop,231.48.124.147,-2.818551,-60.321616,0
WITHDRAWAL,18866.73,C445505799,98077.46,12:14,M302563940,23880.55,Desktop,21.91.200.131,36.941019,112.107205,0
TRANSFER,49420.82,C950826208,65201.9,1:8,M981270974,15210.53,Web,161.94.232.35,67.354267,-21.489764,0
WITHDRAWAL,45522.98,C116479358,14415.54,4:4,M875718152,87093.3,Desktop,210.77.96.169,34.686828,53.941195,0
TRANSFER,42618.54,C672972597,95413.96,15:55,M508031980,62679.92,Web,19.168.27.70,23.608983,151.534476,0
PAYMENT,37340.85,C565973314,76036.97,3:28,M205702499,70389.08,Mobile,187.86.241.17,-81.721626,106.611647,0
TRANSFER,17929.58,C562446417,24419.74,21:50,M256304376,41205.17,Mobile,53.54.30.166,66.751128,43.095733,0
PAYMENT,24888.39,C726160204,23218.84,14:16,M253671484,63790.46,Web,12.240.215.129,72.217696,63.939919,0
PAYMENT,3702.36,C471048258,29915.42,22:16,M730900313,96202.91,Desktop,226.87.60.108,63.600383,-141.604824,0
TRANSFER,28600.42,C717199615,99269.2,21:25,M417690559,29523.08,Desktop,12.154.231.185,50.096091,170.497014,0
WITHDRAWAL,37261.16,C994253959,77574.1,11:14,M407298630,23011.84,Web,58.168.74.183,46.003918,96.289479,0
WITHDRAWAL,41918.47,C774576271,90340.37,9:50,M204328975,64634.06,Desktop,18.158.103.197,-66.345875,147.466012,0
TRANSFER,37376.57,C288592093,13215.98,11:33,M315601773,53940.78,Web,243.79.222.52,-43.745385,116.888333,0
TRANSFER,48369.53,C416905717,87039.7,14:4,M901611993,80423.25,Mobile,203.67.230.183,40.359008,172.779207,0
WITHDRAWAL,18295.09,C948988297,1391.87,14:23,M523671208,53657.23,Web,201.182.77.159,-21.41541,49.877736,0
TRANSFER,5426.22,C351064359,2502.46,17:20,M606244434,88423.48,Web,66.175.26.172,58.293963,147.37955,0
TRANSFER,32465.48,C225279834,4534.68,15:7,M250084428,3721.21,Mobile,70.237.147.44,-20.04375,-46.435854,0
WITHDRAWAL,34827.23,C680027275,58734.03,13:41,M550033924,72659.92,Mobile,223.135.167.114,79.029552,-79.29355,0
WITHDRAWAL,18532.79,C576078963,95055.52,3:43,M577488537,85545.02,Desktop,149.240.175.101,-79.100984,-80.682681,0
PAYMENT,47451.05,C984968439,9167.34,20:38,M588249062,21210.58,Mobile,22.211.95.72,87.987763,103.312116,0
PAYMENT,3439.82,C921581473,20715.74,7:21,M695076080,21595.14,Mobile,211.240.162.10,-40.090528,174.250127,0
PAYMENT,27015.37,C957397689,10992.63,4:0,M287364857,86644.79,Desktop,212.211.70.160,-31.721137,-117.271367,0
PAYMENT,6346.66,C552002959,11364.93,14:49,M664880035,6355.8,Desktop,141.161.37.125,0.690964,160.349631,0
PAYMENT,36364.88,C807491789,30163.03,0:3,M659903980,64334.07,Desktop,226.112.119.185,-70.566871,76.464473,0
TRANSFER,3683.8,C186748119,60829.74,8:39,M445864933,6568.22,Web,159.150.192.93,-21.437208,35.061068,0
TRANSFER,22691.23,C750072069,9917.85,20:41,M561923010,70177.94,Web,194.231.65.120,-8.720115,-97.742313,0
TRANSFER,41372.69,C528133274,72961.25,10:42,M546665485,31254.83,Desktop,105.254.49.185,76.137306,-155.832009,0
PAYMENT,4670.57,C203685265,73879.6,17:3,M899496315,81176.93,Web,254.153.153.94,30.602388,-32.108892,0
WITHDRAWAL,47057.08,C554124989,5144.61,9:22,M874233009,28762.94,Mobile,157.139.64.49,28.212535,-99.271847,0
PAYMENT,17512.2,C697285504,11488.53,7:51,M494665673,27856.82,Desktop,226.153.206.219,21.910285,62.991616,0
WITHDRAWAL,1322.43,C806340901,69347.12,8:44,M990626742,2895.32,Desktop,245.96.99.11,-57.347,-128.429463,0
WITHDRAWAL,20045.21,C252336745,63317.2,23:33,M895609471,3065.71,Mobile,106.117.126.97,-61.66633,-67.810547,0
TRANSFER,38844.01,C709448939,8495.7,5:48,M740190407,5260.88,Web,22.182.30.79,-10.239665,-27.354682,0
WITHDRAWAL,22107.79,C393310667,75494.31,13:7,M331465414,11381.75,Desktop,183.183.161.134,4.848139,-68.969019,0
PAYMENT,19769.22,C743520276,768.71,6:49,M158821683,30141.94,Mobile,205.75.84.93,-68.402818,-0.941282,0
TRANSFER,8792.98,C508244633,70367.13,21:51,M671855941,50026.23,Desktop,28.111.230.199,-82.385593,-173.253047,0
PAYMENT,43106.88,C718216692,57339.97,13:18,M560940492,70949.9,Mobile,113.15.93.53,54.237988,42.525095,0
WITHDRAWAL,45989.29,C194628740,84448.44,18:25,M568915703,24331.65,Web,30.111.232.89,44.244869,-100.234059,0
PAYMENT,3828.21,C779919809,53060.48,11:22,M222435172,19390.37,Web,255.219.175.218,-63.41583,-142.99037,0
TRANSFER,9871.62,C746820987,76021.53,5:49,M264142683,65550.9,Web,136.128.203.154,46.777887,-18.394107,0
WITHDRAWAL,32153.16,C770575153,86424.69,4:28,M447042200,62721.74,Mobile,130.123.171.87,53.339342,32.911112,0
TRANSFER,25371.77,C433297890,45191.39,9:4,M595792218,5689.01,Web,231.228.33.167,16.934367,-41.586308,0
WITHDRAWAL,27720.28,C950207886,89587.68,18:41,M893410426,44973.37,Mobile,92.164.131.138,-62.845006,-157.725468,0
PAYMENT,40550.23,C999126903,98238.56,20:11,M468763500,8432.91,Mobile,73.191.122.122,4.33234,39.529946,0
TRANSFER,18648.87,C403754671,40876.94,19:3,M515985367,33836.71,Web,175.95.26.94,-72.988929,64.216564,0
TRANSFER,12607.27,C804980312,87327.97,18:42,M747145068,33336.2,Mobile,244.99.89.177,35.726393,-38.895126,0
WITHDRAWAL,35444.61,C190966348,55892.21,10:52,M432411019,64349.33,Mobile,181.189.222.252,42.979441,66.749198,0
WITHDRAWAL,4681.71,C819896690,50848.85,9:11,M554629125,1823.05,Mobile,97.252.206.134,-55.439058,179.991584,0
PAYMENT,3867.48,C946237594,50768.97,23:56,M208599066,53977.08,Web,19.179.96.234,47.935369,-132.822345,0
TRANSFER,7721.1,C294181873,69284.56,5:46,M992649957,62474.05,Desktop,21.115.103.183,39.525421,169.051897,0
WITHDRAWAL,14253.55,C903734960,44892.8,9:51,M941599226,53401.11,Desktop,241.223.59.104,32.095229,25.350982,0
TRANSFER,23089.38,C402550088,38187.24,5:52,M935504321,52745.98,Mobile,215.164.45.233,-44.999422,50.824453,0
TRANSFER,27731.49,C210154881,84589.23,9:5,M863860982,85116.6,Mobile,79.125.241.141,-63.477242,-22.509878,0
PAYMENT,40837.0,C475364113,41489.69,11:15,M128636900,39645.4,Desktop,30.105.67.17,-32.636722,-144.330075,0
WITHDRAWAL,32501.53,C949738493,13759.96,15:44,M256819248,28687.94,Mobile,204.190.130.124,20.762686,146.108696,0
PAYMENT,12803.64,C996534803,54880.42,16:27,M260545470,72723.48,Mobile,208.83.70.87,-68.067298,-94.161779,0
WITHDRAWAL,39697.02,C590822013,11085.79,19:34,M167438668,90514.69,Mobile,171.141.157.71,39.337979,-75.142084,0
PAYMENT,30744.33,C358303887,41656.76,2:33,M712745501,66437.13,Desktop,27.254.144.149,1.318985,175.799335,0
WITHDRAWAL,1026.51,C604803700,63567.08,8:47,M146744734,98103.94,Mobile,101.211.27.98,-46.597334,56.557584,0
PAYMENT,38577.35,C889401015,33251.86,17:21,M912477810,4433.57,Web,54.222.209.185,-6.367878,70.340131,0
WITHDRAWAL,9122.08,C244796859,71604.51,1:18,M167753684,94360.52,Mobile,21.212.61.236,-82.45693,156.013553,0
WITHDRAWAL,19917.22,C975535611,47339.98,20:12,M683074770,3662.08,Desktop,101.230.209.22,65.84369,-60.507113,0
PAYMENT,39969.13,C569172971,74330.77,12:21,M529520110,89463.75,Mobile,137.187.137.104,76.375884,6.939307,0
PAYMENT,36356.8,C184747224,60245.33,17:18,M562360908,82234.13,Desktop,36.30.93.179,-36.784809,-19.470325,0
WITHDRAWAL,21311.54,C840629322,35154.7,11:39,M576642996,4235.52,Desktop,80.173.212.252,-79.675548,61.6262,0
TRANSFER,18171.92,C960170255,67941.06,4:54,M905196831,95278.94,Web,183.210.122.18,-67.278596,-95.041663,1
WITHDRAWAL,18322.76,C511086777,3238.53,14:23,M709074302,15343.82,Desktop,123.205.29.156,-65.214881,-47.898018,1
TRANSFER,32481.54,C368018471,2591.33,16:24,M221814525,18604.8,Web,40.77.208.76,36.726806,-102.754647,0
WITHDRAWAL,14285.99,C627422192,12263.74,14:11,M314939857,85282.63,Web,123.32.217.184,84.161023,175.166877,0
WITHDRAWAL,17377.79,C169727803,54217.14,5:45,M690554938,89133.17,Web,247.189.173.54,52.865349,3.152068,0
PAYMENT,49256.78,C950474042,23673.62,11:35,M249117905,49402.19,Web,104.129.215.151,-66.641179,138.328721,0
PAYMENT,15471.44,C869801588,47866.51,13:52,M871880418,41079.51,Web,28.42.91.174,-76.650296,-12.300048,0
WITHDRAWAL,17232.29,C990189659,55130.34,4:27,M937800943,58778.6,Web,243.232.24.222,-67.650998,-124.914432,0
PAYMENT,8106.73,C861639583,34602.31,9:54,M342096876,94090.41,Mobile,74.60.172.254,9.151455,-134.938694,0
TRANSFER,30725.27,C200317984,64098.74,18:9,M639633807,59180.84,Mobile,178.169.194.240,18.925003,123.310801,0
WITHDRAWAL,2069.3,C130465806,4546.18,18:16,M187212377,64145.37,Web,63.206.156.116,21.259517,-169.097077,0
WITHDRAWAL,27283.42,C789242701,48294.48,21:25,M424371087,80468.82,Desktop,126.28.186.25,-61.54552,-30.376171,0
TRANSFER,10209.11,C751396498,31258.25,23:55,M254263081,71836.29,Desktop,112.43.204.104,2.696424,-141.773784,0
PAYMENT,23328.96,C387195524,24791.89,9:24,M582750043,9681.17,Web,117.73.231.240,-61.254061,-62.123105,0
WITHDRAWAL,36059.21,C303832812,15934.24,14:31,M919395339,99596.94,Desktop,137.15.33.251,-19.216407,-15.396969,0
PAYMENT,10765.07,C478918222,5054.04,20:43,M152246275,49489.42,Desktop,83.147.12.226,-70.650525,-131.78342,1
TRANSFER,36378.13,C920184955,36593.74,18:35,M532990767,40058.16,Mobile,102.151.83.28,-20.457212,-17.872423,0
WITHDRAWAL,13993.24,C769200551,61104.31,3:25,M830572478,12866.34,Desktop,213.96.152.250,-24.190853,-128.063751,0
WITHDRAWAL,25461.03,C636954564,4530.34,10:51,M143223380,13703.64,Desktop,142.126.48.165,70.763705,-129.678845,0
WITHDRAWAL,15933.32,C521931770,73931.94,10:32,M761962359,29923.43,Web,146.135.191.154,-36.037698,113.66958,0
TRANSFER,16568.67,C217687031,58370.21,23:55,M547256709,79675.48,Web,171.16.162.131,-42.204521,56.01275,0
WITHDRAWAL,28885.94,C874597473,58352.33,20:46,M155142186,17051.21,Web,208.225.107.47,57.899032,-92.809238,0
WITHDRAWAL,47410.78,C217999418,1893.74,4:26,M304853117,31369.25,Web,62.115.138.208,20.066051,-10.222033,0
WITHDRAWAL,36372.83,C857820386,51868.32,21:30,M248264937,56088.68,Web,106.90.254.54,-7.260564,11.925743,0
WITHDRAWAL,17720.81,C928917719,68074.59,8:39,M874086851,80365.25,Desktop,59.255.73.81,10.455597,-99.047866,0
TRANSFER,38561.0,C856881618,69023.99,15:22,M322562836,48900.31,Web,249.249.213.194,-40.777643,-136.125322,0
WITHDRAWAL,27164.11,C523625992,34513.47,4:18,M978726109,77306.43,Mobile,83.254.192.30,-27.654567,-20.7446,0
TRANSFER,37369.45,C329766590,82795.17,17:44,M316968866,27113.27,Desktop,45.37.167.199,15.62949,-92.715106,0
WITHDRAWAL,45260.16,C342313086,23283.66,10:45,M784987769,10019.8,Desktop,35.184.207.45,-89.06734,18.126924,0
PAYMENT,20351.3,C610778600,65053.87,9:20,M612656440,75591.11,Desktop,175.25.242.206,-73.89707,26.688007,0
WITHDRAWAL,36936.94,C140048684,41788.5,1:53,M287974375,83760.49,Desktop,211.136.57.249,44.820576,134.024647,0
TRANSFER,43838.39,C109950544,56796.19,10:18,M420396197,10730.07,Desktop,174.149.144.136,70.066793,-131.688019,0
WITHDRAWAL,23406.36,C307029662,11264.68,14:41,M968457290,16249.43,Desktop,193.57.13.198,-29.319808,-73.791267,0
WITHDRAWAL,37866.56,C288436227,85614.65,13:32,M756007396,89704.28,Desktop,32.112.181.34,-56.739384,-129.379725,0
TRANSFER,46791.91,C107333788,38357.44,8:21,M380016058,44673.55,Desktop,159.195.156.12,-42.920433,-50.561247,0
PAYMENT,3115.6,C226942964,30680.63,16:59,M599714064,40541.66,Web,207.89.186.40,24.968039,158.628825,0
TRANSFER,30735.13,C335287540,47818.19,19:23,M243418388,45497.87,Desktop,189.150.243.130,46.323094,108.718197,0
PAYMENT,38095.36,C830511568,59581.45,16:28,M910395417,78737.07,Web,190.102.29.244,11.55037,-157.767103,0
WITHDRAWAL,45145.38,C317064188,53666.02,16:28,M714933740,16453.72,Mobile,184.62.193.159,-2.010966,143.600167,0
TRANSFER,40436.52,C586869229,51324.78,1:35,M241674152,45679.85,Desktop,182.216.88.195,-86.081318,-88.395401,0
PAYMENT,37292.77,C720956992,4528.98,2:34,M178414859,34452.89,Mobile,249.238.27.249,-5.027184,-76.647346,0
PAYMENT,38450.91,C922301213,97833.33,13:23,M788832222,64588.08,Desktop,124.232.244.242,-22.050657,-151.110003,0
WITHDRAWAL,43728.94,C242796714,86028.66,17:25,M801726890,11863.32,Web,42.196.67.223,-89.374807,-171.815282,0
TRANSFER,23155.57,C872121274,42412.8,7:15,M684593732,37927.65,Desktop,98.49.80.58,78.733865,81.008621,0
PAYMENT,1620.54,C808881871,61492.32,0:15,M550156166,93623.79,Mobile,27.35.162.18,-9.640608,61.928509,0
PAYMENT,12244.26,C147498828,43896.28,1:8,M531929128,53975.98,Web,84.69.218.244,41.673147,-65.194669,0
WITHDRAWAL,38629.19,C978731508,23690.4,21:33,M444311548,87625.83,Mobile,115.86.80.25,10.209261,33.000164,0
WITHDRAWAL,45579.77,C772155012,42720.06,11:41,M828802398,49562.08,Web,107.211.144.91,35.335513,-33.026696,0
TRANSFER,18829.24,C910048118,47351.88,9:54,M677596076,84934.09,Web,46.216.128.244,-79.627692,-31.436104,0
TRANSFER,27868.77,C243980993,24285.85,20:5,M517061783,20333.67,Desktop,226.104.33.147,40.425248,-111.426617,0
TRANSFER,18864.63,C749580994,3954.76,18:46,M747382621,7278.43,Web,153.65.132.63,66.505293,-60.132848,0
PAYMENT,10598.27,C304036387,11731.62,15:58,M896152940,99957.2,Mobile,188.164.190.62,-18.606229,-93.840855,0
TRANSFER,38777.94,C508732434,53365.01,8:23,M600632621,35925.96,Web,235.137.129.35,54.506992,80.068886,0
TRANSFER,45717.38,C498041381,41393.02,7:47,M435997460,56252.47,Mobile,14.76.151.249,15.125742,79.204298,0
TRANSFER,7629.05,C454190155,37983.98,15:35,M346980616,83336.27,Web,251.185.96.75,47.404913,-4.096404,0
WITHDRAWAL,32088.31,C626772995,16823.36,5:8,M594811370,79497.55,Web,149.135.57.244,70.085615,176.516475,0
PAYMENT,26201.98,C179811669,66821.55,13:8,M978316418,76433.88,Web,69.27.191.48,-88.354537,2.063851,0
TRANSFER,3031.9,C784755860,93390.37,21:31,M815922437,91275.15,Mobile,11.146.151.115,-87.866826,10.590353,0
TRANSFER,26791.55,C407829477,50221.6,13:51,M118406723,69785.91,Mobile,37.245.34.144,-63.198453,-110.904459,0
WITHDRAWAL,12628.39,C480578233,79493.63,12:29,M387037751,7901.92,Web,72.188.67.86,33.127493,125.232157,0
WITHDRAWAL,49583.82,C797818850,3168.45,12:35,M915599098,40527.83,Desktop,24.173.12.189,-59.150956,-0.050978,0
TRANSFER,32248.91,C455699119,97732.92,16:58,M707583925,97383.97,Mobile,68.64.240.232,34.611788,24.042293,0
TRANSFER,2337.63,C179830621,92558.48,18:42,M834899763,89931.17,Mobile,55.247.227.90,-87.181543,-105.423078,0
PAYMENT,37615.2,C865268035,39829.6,5:36,M981437228,7693.75,Mobile,155.223.227.109,31.866294,14.602475,0
TRANSFER,37782.91,C250270803,98847.8,16:47,M948790854,72416.36,Desktop,23.35.121.69,60.961438,-57.386611,0
WITHDRAWAL,47743.37,C525956648,32637.66,14:31,M930598266,63412.29,Mobile,101.151.250.106,-12.26737,64.690149,0
WITHDRAWAL,19009.83,C929108437,29537.95,2:5,M764233758,24644.98,Desktop,49.107.192.210,24.102159,86.275904,0
TRANSFER,18041.4,C198269319,94296.02,8:6,M105578324,44473.59,Mobile,32.57.120.124,10.257306,4.478705,0
PAYMENT,1322.83,C480012570,9306.43,10:55,M695088987,59804.38,Desktop,13.84.115.109,50.250439,80.943784,0
WITHDRAWAL,45261.33,C360642799,52110.45,5:8,M714137833,68531.6,Desktop,87.78.136.47,-78.611913,-23.516543,0
TRANSFER,14994.62,C940381893,36112.49,23:40,M182593686,94422.23,Desktop,162.167.60.127,-70.744974,-70.323122,0
TRANSFER,16617.54,C765926290,80407.65,10:27,M507903732,32954.17,Web,162.44.86.92,18.578028,70.305226,0
TRANSFER,15716.02,C527606494,29144.82,15:36,M442671456,69495.78,Mobile,93.106.81.219,51.455976,-48.594407,0
WITHDRAWAL,9998.0,C685864775,68171.26,23:29,M293195372,55009.92,Web,63.122.214.84,59.630726,-155.102878,0
TRANSFER,33652.15,C249442440,30283.26,4:45,M780039397,25268.17,Desktop,212.106.28.124,88.326111,-7.475508,0
TRANSFER,26723.03,C842716738,54364.52,11:44,M549146950,79072.09,Web,162.173.244.31,-70.313503,-90.636851,0
WITHDRAWAL,17756.89,C794710793,4429.67,21:41,M757857890,98360.82,Desktop,202.94.213.120,-70.929981,-144.501639,0
PAYMENT,25538.71,C657054862,58051.83,14:23,M699140867,57523.54,Desktop,128.207.183.160,34.278715,-125.731824,0
PAYMENT,24143.73,C417217932,92054.75,23:9,M546650213,8585.48,Desktop,89.97.126.210,-52.763881,-6.14664,0
TRANSFER,4890.18,C875235090,45244.72,1:51,M848143863,6717.43,Web,39.15.227.97,26.634585,63.77016,0
PAYMENT,46496.82,C895094534,51599.39,10:35,M361899532,55191.03,Desktop,255.128.69.214,-17.091461,-113.597361,0
WITHDRAWAL,32868.82,C524753348,73738.84,14:37,M131344962,88309.74,Desktop,109.11.190.64,-52.958794,90.837178,0
PAYMENT,28871.62,C958459117,18695.98,14:7,M676480186,32598.49,Desktop,181.230.135.145,83.864952,-67.17452,0
